DATE,LFWA64TTJPM647S
2016-01-01,76954367.5610236
2016-02-01,76715339.6267991
2016-03-01,76611047.6836127
2016-04-01,76554742.1442663
2016-05-01,76420635.7388458
2016-06-01,76434467.16006519
2016-07-01,76496689.7765669
2016-08-01,76509276.694478
2016-09-01,76387253.3728475
2016-10-01,76291197.2200602
2016-11-01,76235910.9735135
2016-12-01,76339072.0479213
2017-01-01,76374497.12312269
2017-02-01,76051078.37640761
2017-03-01,75907577.2089508
2017-04-01,76071329.006808
2017-05-01,76212348.0758726
2017-06-01,76107081.7166912
2017-07-01,76079626.49433419
2017-08-01,75994792.4168039
2017-09-01,75898676.36850339
2017-10-01,75750297.6139379
2017-11-01,75732736.6000128
2017-12-01,75689958.998555
2018-01-01,75609242.2794062
2018-02-01,75662807.227653
2018-03-01,75688026.64190459
2018-04-01,75764405.45319791
2018-05-01,75556883.331183
2018-06-01,75470844.0108652
2018-07-01,75422780.1960392
2018-08-01,75321850.93254879
2018-09-01,75251804.3637112
2018-10-01,75307313.1315012
2018-11-01,75322969.1612741
2018-12-01,75121073.2707156
2019-01-01,75028592.083503
2019-02-01,75136848.21274221
2019-03-01,75158852.05352691
2019-04-01,75150385.3559671
2019-05-01,75050999.5452822
2019-06-01,75020825.72985831
2019-07-01,75008727.279386
2019-08-01,74973788.1065298
2019-09-01,74972412.4532437
2019-10-01,75033434.536856
2019-11-01,74863606.49847649
2019-12-01,74841528.1446284
2020-01-01,74783527.59363881
2020-02-01,74821593.4056861
2020-03-01,74701313.54845409
2020-04-01,74640853.9985692
2020-05-01,74618378.8921096
2020-06-01,74578237.0488216
2020-07-01,74505064.04699141
2020-08-01,74572438.0771285
2020-09-01,74505974.5034239
2020-10-01,74436990.2809834
2020-11-01,74568151.82372141
2020-12-01,74517476.7804721
2021-01-01,74486321.7941263
2021-02-01,74348780.6157664
2021-03-01,74075419.3409591
2021-04-01,74223506.0473286
2021-05-01,74095398.6128217
2021-06-01,73940769.8520308
